"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|FI","Without Sequence","72.33","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|FI","Without Sequence","77.14","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|FI","Without Sequence","102.48","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|FI","Without Sequence","154.96","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|FI","Without Sequence","163.92","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|FI","Without Sequence","167.07","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|FI","Without Sequence","168.57","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|FI","Without Sequence","169.49","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|FI","Without Sequence","164.50","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|FI","Without Sequence","160.91","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|FI","Without Sequence","163.06","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|FI","Without Sequence","167.73","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|FI","Without Sequence","166.61","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|FI","Without Sequence","170.72","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|FI","Without Sequence","168.93","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|FI","Without Sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|FI","Without Sequence","149.62","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|FI","Without Sequence","131.05","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|FI","Without Sequence","114.27","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|FI","Without Sequence","93.66","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|FI","Without Sequence","82.88","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|FI","Without Sequence","78.84","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|FI","Without Sequence","69.93","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|FI","Without Sequence","69.26","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|FI","Without Sequence","71.75","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|FI","Without Sequence","81.73","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|FI","Without Sequence","112.76","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|FI","Without Sequence","126.72","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|FI","Without Sequence","127.91","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|FI","Without Sequence","127.92","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|FI","Without Sequence","121.25","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|FI","Without Sequence","118.97","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|FI","Without Sequence","119.92","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|FI","Without Sequence","135.07","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|FI","Without Sequence","130.08","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|FI","Without Sequence","130.05","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|FI","Without Sequence","125.07","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|FI","Without Sequence","133.44","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|FI","Without Sequence","125.01","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|FI","Without Sequence","119.88","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|FI","Without Sequence","64.56","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|FI","Without Sequence","57.26","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|FI","Without Sequence","37.94","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|FI","Without Sequence","30.82","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|FI","Without Sequence","30.03","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|FI","Without Sequence","28.15","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|FI","Without Sequence","27.68","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|FI","Without Sequence","27.76","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|FI","Without Sequence","28.63","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|FI","Without Sequence","39.80","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|FI","Without Sequence","62.70","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|FI","Without Sequence","85.53","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|FI","Without Sequence","93.54","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|FI","Without Sequence","107.92","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|FI","Without Sequence","128.75","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|FI","Without Sequence","139.64","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|FI","Without Sequence","139.99","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|FI","Without Sequence","142.58","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|FI","Without Sequence","149.40","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|FI","Without Sequence","155.20","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|FI","Without Sequence","168.59","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|FI","Without Sequence","190.03","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|FI","Without Sequence","190.00","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|FI","Without Sequence","173.71","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|FI","Without Sequence","160.05","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|FI","Without Sequence","148.62","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|FI","Without Sequence","141.17","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|FI","Without Sequence","127.00","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|FI","Without Sequence","107.21","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|FI","Without Sequence","101.10","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|FI","Without Sequence","96.73","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|FI","Without Sequence","82.34","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|FI","Without Sequence","81.93","",""
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|FI","Without Sequence","98.11","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|FI","Without Sequence","100.72","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|FI","Without Sequence","128.30","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|FI","Without Sequence","135.57","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|FI","Without Sequence","126.91","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|FI","Without Sequence","123.17","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|FI","Without Sequence","116.12","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|FI","Without Sequence","116.83","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|FI","Without Sequence","106.79","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|FI","Without Sequence","127.54","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|FI","Without Sequence","131.27","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|FI","Without Sequence","135.62","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|FI","Without Sequence","150.72","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|FI","Without Sequence","142.11","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|FI","Without Sequence","119.92","",""
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|FI","Without Sequence","107.22","",""
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|FI","Without Sequence","101.02","",""
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|FI","Without Sequence","74.25","",""
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|FI","Without Sequence","71.74","",""
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|FI","Without Sequence","71.67","",""
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|FI","Without Sequence","69.93","",""
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","BZN|FI","Without Sequence","69.94","",""
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","BZN|FI","Without Sequence","70.95","",""
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","BZN|FI","Without Sequence","73.83","",""
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","BZN|FI","Without Sequence","75.26","",""
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","BZN|FI","Without Sequence","77.82","",""
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","BZN|FI","Without Sequence","75.97","",""
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","BZN|FI","Without Sequence","79.98","",""
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","BZN|FI","Without Sequence","97.10","",""
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","BZN|FI","Without Sequence","90.25","",""
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","BZN|FI","Without Sequence","79.80","",""
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","BZN|FI","Without Sequence","80.05","",""
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","BZN|FI","Without Sequence","80.63","",""
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","BZN|FI","Without Sequence","80.51","",""
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","BZN|FI","Without Sequence","78.94","",""
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","BZN|FI","Without Sequence","79.93","",""
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","BZN|FI","Without Sequence","78.68","",""
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|FI","Without Sequence","78.38","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|FI","Without Sequence","74.39","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|FI","Without Sequence","66.98","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|FI","Without Sequence","59.99","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|FI","Without Sequence","48.80","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|FI","Without Sequence","35.90","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|FI","Without Sequence","24.44","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|FI","Without Sequence","9.30","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|FI","Without Sequence","9.10","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|FI","Without Sequence","4.16","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|FI","Without Sequence","5.58","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|FI","Without Sequence","9.92","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|FI","Without Sequence","9.02","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|FI","Without Sequence","16.47","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|FI","Without Sequence","27.08","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|FI","Without Sequence","29.08","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|FI","Without Sequence","35.22","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|FI","Without Sequence","47.00","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|FI","Without Sequence","47.00","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|FI","Without Sequence","48.96","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|FI","Without Sequence","54.91","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|FI","Without Sequence","63.49","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|FI","Without Sequence","66.11","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|FI","Without Sequence","69.19","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|FI","Without Sequence","69.91","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|FI","Without Sequence","65.62","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|FI","Without Sequence","60.98","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|FI","Without Sequence","57.41","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|FI","Without Sequence","50.02","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|FI","Without Sequence","46.29","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|FI","Without Sequence","69.04","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|FI","Without Sequence","64.38","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|FI","Without Sequence","60.28","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|FI","Without Sequence","39.41","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|FI","Without Sequence","47.34","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|FI","Without Sequence","68.99","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|FI","Without Sequence","82.71","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|FI","Without Sequence","81.72","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|FI","Without Sequence","82.60","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|FI","Without Sequence","83.00","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|FI","Without Sequence","82.65","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|FI","Without Sequence","83.05","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|FI","Without Sequence","82.92","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|FI","Without Sequence","82.80","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|FI","Without Sequence","82.67","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|FI","Without Sequence","83.03","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|FI","Without Sequence","82.41","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|FI","Without Sequence","81.37","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|FI","Without Sequence","81.24","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|FI","Without Sequence","81.20","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|FI","Without Sequence","82.32","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|FI","Without Sequence","85.54","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|FI","Without Sequence","83.84","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|FI","Without Sequence","80.59","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|FI","Without Sequence","76.05","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|FI","Without Sequence","79.95","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|FI","Without Sequence","78.82","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|FI","Without Sequence","80.06","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|FI","Without Sequence","83.16","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|FI","Without Sequence","91.02","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|FI","Without Sequence","117.80","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|FI","Without Sequence","117.71","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|FI","Without Sequence","99.97","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|FI","Without Sequence","97.46","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|FI","Without Sequence","107.79","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|FI","Without Sequence","118.62","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|FI","Without Sequence","140.07","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|FI","Without Sequence","139.97","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|FI","Without Sequence","141.92","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|FI","Without Sequence","142.42","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|FI","Without Sequence","139.31","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|FI","Without Sequence","142.83","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|FI","Without Sequence","169.17","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|FI","Without Sequence","149.35","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|FI","Without Sequence","105.64","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|FI","Without Sequence","142.04","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|FI","Without Sequence","105.69","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|FI","Without Sequence","87.07","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|FI","Without Sequence","52.69","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|FI","Without Sequence","31.85","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|FI","Without Sequence","25.17","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|FI","Without Sequence","22.57","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|FI","Without Sequence","41.96","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|FI","Without Sequence","65.81","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|FI","Without Sequence","114.62","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|FI","Without Sequence","95.14","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|FI","Without Sequence","72.71","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|FI","Without Sequence","69.96","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|FI","Without Sequence","68.89","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|FI","Without Sequence","69.29","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|FI","Without Sequence","68.86","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|FI","Without Sequence","66.80","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|FI","Without Sequence","69.52","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|FI","Without Sequence","75.91","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|FI","Without Sequence","76.84","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|FI","Without Sequence","74.08","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|FI","Without Sequence","75.08","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|FI","Without Sequence","67.99","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|FI","Without Sequence","65.16","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|FI","Without Sequence","60.01","",""
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|FI","Without Sequence","49.91","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|FI","Without Sequence","43.32","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|FI","Without Sequence","19.88","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|FI","Without Sequence","5.55","",""
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","BZN|FI","Without Sequence","4.69","",""
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","BZN|FI","Without Sequence","0.10","",""
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","BZN|FI","Without Sequence","2.73","",""
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","BZN|FI","Without Sequence","24.94","",""
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","BZN|FI","Without Sequence","36.01","",""
"12/01/2023 07:00:00 - 12/01/2023 08:00:00","BZN|FI","Without Sequence","59.98","",""
"12/01/2023 08:00:00 - 12/01/2023 09:00:00","BZN|FI","Without Sequence","65.18","",""
"12/01/2023 09:00:00 - 12/01/2023 10:00:00","BZN|FI","Without Sequence","65.03","",""
"12/01/2023 10:00:00 - 12/01/2023 11:00:00","BZN|FI","Without Sequence","66.30","",""
"12/01/2023 11:00:00 - 12/01/2023 12:00:00","BZN|FI","Without Sequence","66.72","",""
"12/01/2023 12:00:00 - 12/01/2023 13:00:00","BZN|FI","Without Sequence","66.60","",""
